dt,symbol,price,arbitrum_vol_ex_uni,__row_index
2024-07-18T13:00:00.000Z,WBTC,64693.0,15924131.27,217
2024-07-18T12:00:00.000Z,WETH,3443.14,9355305.42999998,218
2024-07-18T12:00:00.000Z,WBTC,64701.0,9355305.42999998,219
2024-07-18T11:00:00.000Z,WBTC,64890.0,8290263.03999999,220
2024-07-18T11:00:00.000Z,WETH,3443.89,8290263.03999999,221
2024-07-18T10:00:00.000Z,WBTC,64976.0,6521210.30999999,222
2024-07-18T10:00:00.000Z,WETH,3453.65,6521210.30999999,223
2024-07-18T09:00:00.000Z,WBTC,64806.0,7870386.75000001,224
2024-07-18T09:00:00.000Z,WETH,3435.54,7870386.75000001,225
2024-07-18T08:00:00.000Z,WETH,3444.47,10054258.55,226
2024-07-18T08:00:00.000Z,WBTC,64889.0,10054258.55,227
2024-07-18T07:00:00.000Z,WETH,3428.4,9548303.3,228
2024-07-18T07:00:00.000Z,WBTC,64834.0,9548303.3,229
2024-07-18T06:00:00.000Z,WETH,3413.09,7633669.79000001,230
2024-07-18T06:00:00.000Z,WBTC,64626.0,7633669.79000001,231
2024-07-18T05:00:00.000Z,WETH,3425.23,7138952.41,232
2024-07-18T05:00:00.000Z,WBTC,64863.0,7138952.41,233
2024-07-18T04:00:00.000Z,WETH,3420.16,6469892.97,234
2024-07-18T04:00:00.000Z,WBTC,64712.0,6469892.97,235
2024-07-18T03:00:00.000Z,WETH,3421.1,7091726.85,236
2024-07-18T03:00:00.000Z,WBTC,64693.0,7091726.85,237
2024-07-18T02:00:00.000Z,WBTC,64542.0,13142892.85,238
2024-07-18T02:00:00.000Z,WETH,3413.23,13142892.85,239
2024-07-18T01:00:00.000Z,WBTC,64208.0,7667996.77,240
2024-07-18T01:00:00.000Z,WETH,3391.72,7667996.77,241
2024-07-18T00:00:00.000Z,WBTC,64237.0,12230027.92,242
2024-07-18T00:00:00.000Z,WETH,3393.94,12230027.92,243
2024-07-17T23:00:00.000Z,WETH,3405.87,7475996.33000002,244
2024-07-17T23:00:00.000Z,WBTC,64343.0,7475996.33000002,245
2024-07-17T22:00:00.000Z,WBTC,64482.0,10925172.61,246
2024-07-17T22:00:00.000Z,WETH,3417.5,10925172.61,247
2024-07-17T21:00:00.000Z,WETH,3421.38,12042701.66,248
2024-07-17T21:00:00.000Z,WBTC,64614.0,12042701.66,249
2024-07-17T20:00:00.000Z,WETH,3414.14,6747767.58999999,250
2024-07-17T20:00:00.000Z,WBTC,64358.0,6747767.58999999,251
2024-07-17T19:00:00.000Z,WBTC,64297.0,8431185.94,252
2024-07-17T19:00:00.000Z,WETH,3409.83,8431185.94,253
2024-07-17T18:00:00.000Z,WBTC,64214.0,8069552.28,254
2024-07-17T18:00:00.000Z,WETH,3401.5,8069552.28,255
2024-07-17T17:00:00.000Z,WBTC,64940.0,11556489.36,256
2024-07-17T17:00:00.000Z,WETH,3447.15,11556489.36,257
2024-07-17T16:00:00.000Z,WETH,3463.84,20390218.2,258
2024-07-17T16:00:00.000Z,WBTC,64995.0,20390218.2,259
2024-07-17T15:00:00.000Z,WETH,3456.07,16681377.51,260
2024-07-17T15:00:00.000Z,WBTC,65076.0,16681377.51,261
2024-07-17T14:00:00.000Z,WETH,3452.77,17561553.4599999,262
2024-07-17T14:00:00.000Z,WBTC,64700.0,17561553.4599999,263
2024-07-17T13:00:00.000Z,WBTC,64691.0,19907107.52,264
2024-07-17T13:00:00.000Z,WETH,3449.49,19907107.52,265
2024-07-17T12:00:00.000Z,WBTC,65153.0,10228475.41,266
2024-07-17T12:00:00.000Z,WETH,3479.05,10228475.41,267
2024-07-17T11:00:00.000Z,WBTC,65402.0,12276858.03,268
2024-07-17T11:00:00.000Z,WETH,3483.81,12276858.03,269
2024-07-17T10:00:00.000Z,WBTC,65209.0,11801488.05,270
2024-07-17T10:00:00.000Z,WETH,3479.86,11801488.05,271
2024-07-17T09:00:00.000Z,WETH,3480.03,8293152.79,272
2024-07-17T09:00:00.000Z,WBTC,65284.0,8293152.79,273
2024-07-17T08:00:00.000Z,WBTC,65618.0,13978133.8,274
2024-07-17T08:00:00.000Z,WETH,3487.63,13978133.8,275
2024-07-17T07:00:00.000Z,WBTC,65622.0,8838139.17999999,276
2024-07-17T07:00:00.000Z,WETH,3500.0,8838139.17999999,277
2024-07-17T06:00:00.000Z,WBTC,65816.0,8095378.78000001,278
2024-07-17T06:00:00.000Z,WETH,3490.54,8095378.78000001,279
2024-07-17T05:00:00.000Z,WETH,3488.74,10905740.26,280
2024-07-17T05:00:00.000Z,WBTC,65697.0,10905740.26,281
2024-07-17T04:00:00.000Z,WBTC,65635.0,6876094.86,282
2024-07-17T04:00:00.000Z,WETH,3475.26,6876094.86,283
2024-07-17T03:00:00.000Z,WBTC,65785.0,14533863.0,284
2024-07-17T03:00:00.000Z,WETH,3488.49,14533863.0,285
2024-07-17T02:00:00.000Z,WBTC,65426.0,19781921.62,286
2024-07-17T02:00:00.000Z,WETH,3462.23,19781921.62,287
2024-07-17T01:00:00.000Z,WETH,3449.93,14892201.36,288
2024-07-17T01:00:00.000Z,WBTC,65110.0,14892201.36,289
2024-07-17T00:00:00.000Z,WBTC,64588.0,7636890.09,290
2024-07-17T00:00:00.000Z,WETH,3430.61,7636890.09,291
2024-07-16T23:00:00.000Z,WETH,3428.43,29539608.92,292
2024-07-16T23:00:00.000Z,WBTC,64457.0,29539608.92,293
2024-07-16T22:00:00.000Z,WBTC,64828.0,18184770.44,294
2024-07-16T22:00:00.000Z,WETH,3456.48,18184770.44,295
2024-07-16T21:00:00.000Z,WBTC,64959.0,24566033.44,296
2024-07-16T21:00:00.000Z,WETH,3469.39,24566033.44,297
2024-07-16T20:00:00.000Z,WBTC,64940.0,11973824.08,298
2024-07-16T20:00:00.000Z,WETH,3464.57,11973824.08,299
2024-07-16T19:00:00.000Z,WBTC,64524.0,13769894.48,300
2024-07-16T19:00:00.000Z,WETH,3463.31,13769894.48,301
2024-07-16T18:00:00.000Z,WBTC,64619.0,10484448.0,302
